0,13
0,28
0,30
0,61
1,13
1,37
1,47
1,5
1,5
1,54
1,55
10,12
10,37
10,41
11,22
11,24
11,34
11,47
11,52
11,52
11,54
11,54
11,58
11,61
12,13
12,25
12,28
12,35
12,35
13,18
13,19
13,20
13,41
13,45
13,48
13,52
13,56
13,59
14,59
15,17
15,17
15,23
15,29
15,53
15,55
15,58
15,61
16,18
16,30
16,34
16,41
16,47
17,32
17,53
17,57
17,57
18,20
18,37
18,38
18,43
18,49
18,54
19,24
19,36
19,42
19,43
19,55
2,18
2,21
2,23
2,25
2,3
2,34
2,39
2,45
2,47
2,47
2,5
2,52
2,55
2,56
2,57
2,59
2,62
20,34
20,37
20,38
20,47
20,48
20,49
21,49
21,52
21,58
21,62
22,32
22,54
23,32
23,36
23,43
23,44
23,53
23,61
24,27
24,30
24,44
24,47
24,48
24,55
25,36
25,36
25,40
25,54
25,59
26,34
26,35
26,39
26,39
27,59
28,53
28,54
29,31
29,40
29,54
29,54
29,57
29,59
29,60
29,60
29,62
3,25
3,30
3,33
3,39
3,44
3,48
3,5
3,53
3,55
3,58
3,6
30,33
30,46
30,51
30,59
31,46
31,47
31,49
31,61
33,44
33,60
34,43
34,45
34,47
34,49
34,58
35,36
35,46
35,47
35,52
35,59
36,37
36,46
36,53
36,56
36,61
36,61
37,43
37,44
37,50
38,51
39,43
39,45
39,45
39,47
39,53
4,13
4,18
4,21
4,23
4,38
4,44
4,46
4,51
4,52
4,52
4,52
4,55
40,49
40,60
40,62
41,61
42,60
43,50
44,45
44,53
45,59
46,52
47,53
47,61
48,51
48,61
49,53
49,54
49,56
5,10
5,14
5,36
5,37
5,40
5,48
5,58
5,61
5,7
50,56
50,59
50,61
50,62
54,58
55,58
55,61
57,58
57,58
58,60
6,45
7,29
7,30
7,31
7,47
7,48
7,48
7,51
7,57
7,59
7,62
8,17
8,30
8,37
8,38
8,39
8,49
9,20
9,23
9,54
9,55
0,1,39
0,10,11
0,12,47
0,15,27
0,26,62
0,29,56
0,32,51
0,8,12
1,11,43
1,18,49
1,19,45
1,33,51
1,35,60
1,41,53
1,46,48
1,6,52
